iter	Passed	Remaining
0	158	158538
1	160	80217
2	162	54123
3	164	41031
4	166	33175
5	170	28170
6	172	24471
7	174	21664
8	176	19445
9	178	17669
10	180	16218
11	186	15353
12	188	14315
13	190	13419
14	192	12637
15	194	11948
16	197	11431
17	201	10985
18	203	10498
19	205	10065
20	207	9666
21	209	9305
22	215	9169
23	218	8892
24	221	8624
25	223	8365
26	228	8228
27	231	8023
28	233	7825
29	235	7618
30	237	7423
31	244	7383
32	246	7210
33	247	7045
34	249	6892
35	251	6742
36	253	6602
37	257	6513
38	259	6404
39	261	6287
40	263	6171
41	265	6067
42	271	6049
43	273	5949
44	275	5853
45	277	5760
46	279	5670
47	281	5585
48	284	5530
49	287	5455
50	289	5389
51	291	5315
52	293	5247
53	295	5176
54	301	5187
55	303	5121
56	305	5057
57	307	4994
58	309	4934
59	311	4877
60	314	4838
61	316	4790
62	319	4750
63	321	4698
64	323	4648
65	325	4600
66	327	4556
67	328	4500
68	330	4456
69	332	4413
70	334	4373
71	336	4333
72	338	4294
73	341	4271
74	343	4238
75	345	4202
76	347	4165
77	349	4130
78	351	4096
79	357	4108
80	359	4074
81	360	4040
82	362	4008
83	366	3994
84	371	3995
85	373	3970
86	375	3938
87	386	4006
88	393	4027
89	396	4008
90	403	4027
91	406	4010
92	408	3985
93	410	3958
94	412	3930
95	418	3944
96	420	3916
97	422	3890
98	424	3865
99	426	3840
100	428	3815
101	430	3791
102	433	3774
103	437	3769
104	440	3753
105	442	3733
106	473	3950
107	488	4036
108	491	4013
109	498	4030
110	501	4014
111	503	3995
112	505	3971
113	515	4004
114	517	3985
115	519	3959
116	521	3936
117	528	3947
118	534	3955
119	550	4038
120	553	4021
121	558	4019
122	560	3995
123	562	3976
124	564	3953
125	566	3931
126	574	3945
127	575	3919
128	577	3897
129	579	3876
130	581	3857
131	585	3847
132	587	3828
133	590	3813
134	591	3792
135	594	3776
136	596	3756
137	602	3765
138	604	3745
139	606	3726
140	608	3707
141	610	3688
142	612	3669
143	615	3660
144	618	3646
145	620	3628
146	622	3610
147	624	3593
148	626	3576
149	629	3564
150	630	3547
151	632	3530
152	634	3514
153	636	3498
154	638	3481
155	640	3465
156	642	3452
157	645	3441
158	648	3430
159	650	3414
160	652	3400
161	654	3385
162	656	3370
163	662	3377
164	666	3371
165	670	3367
166	675	3369
167	677	3357
168	680	3344
169	682	3330
170	684	3316
171	690	3325
172	692	3311
